,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
294,leona vicario,93,BR,1579664658,78,-1.2,-46.02,300.61,7.98
295,leona vicario,75,AU,1579664658,66,-12.23,136.77,304.15,8.2
296,leona vicario,98,RU,1579664658,95,67.63,134.63,240.55,0.91
297,leona vicario,75,MU,1579664227,94,-20.01,57.66,298.71,0.5
298,leona vicario,97,JP,1579664659,66,42.33,142.37,272.0,3.95
299,leona vicario,66,GH,1579664659,84,4.88,-1.76,298.04,0.79
300,leona vicario,100,GW,1579664659,63,11.28,-15.25,293.34,0.41
301,leona vicario,0,IN,1579664659,56,25.52,90.22,291.08,1.39
302,leona vicario,100,PY,1579664659,83,-19.93,-60.77,299.23,2.48
303,leona vicario,0,ZA,1579664659,84,-32.16,25.62,290.12,2.04
304,leona vicario,97,JP,1579664659,66,38.08,138.43,278.19,1.95
305,leona vicario,71,NO,1579664659,69,67.67,12.69,277.18,10.76
306,leona vicario,100,CA,1579664659,84,54.77,-101.86,268.61,5.84
307,leona vicario,100,ZM,1579664660,93,-9.35,28.73,293.88,2.41
308,leona vicario,100,NG,1579664660,22,7.85,9.78,297.09,3.14
309,leona vicario,94,NO,1579664660,93,58.61,5.65,279.82,2.24
310,leona vicario,15,ET,1579664660,59,6.98,35.58,291.06,1.49
311,leona vicario,1,US,1579664302,54,34.26,-85.16,272.15,5.1
312,leona vicario,40,RU,1579664227,75,53.6,91.39,248.15,0.82
313,leona vicario,67,ML,1579664371,19,18.9,-3.53,293.55,2.41
314,leona vicario,72,VE,1579664660,72,10.23,-66.66,293.71,0.45
315,leona vicario,100,IS,1579664363,95,64.89,-23.71,278.76,13.4
316,leona vicario,69,ID,1579664661,81,-0.32,102.35,301.06,1.92
317,leona vicario,20,AU,1579664661,74,-27.58,153.3,309.26,8.2
318,leona vicario,75,TR,1579664661,74,38.69,35.55,271.15,0.5
319,leona vicario,6,RU,1579664223,86,58.96,126.29,248.72,1.09
320,leona vicario,98,RU,1579664264,97,61.28,108.01,244.22,2.82
321,leona vicario,54,SS,1579664661,25,8.46,25.68,286.07,2.73
322,leona vicario,100,TZ,1579664661,88,-11.3,35.03,292.66,3.63
323,leona vicario,43,JP,1579664661,73,24.34,124.16,294.87,6.11
324,leona vicario,20,MY,1579664214,62,5.41,100.34,303.15,3.1
325,leona vicario,31,ID,1579664662,79,-5.67,132.75,301.65,6.97
326,leona vicario,90,BR,1579664662,96,-5.81,-61.3,296.87,0.73
327,leona vicario,84,RU,1579664662,92,56.85,124.91,247.29,0.73
328,leona vicario,0,RU,1579664662,95,58.7,81.48,253.6,3.18
329,leona vicario,75,JP,1579664018,60,35.73,140.83,279.26,4.1
330,leona vicario,100,RU,1579664333,74,69.49,88.4,243.15,5.0
331,leona vicario,100,ID,1579664662,56,-3.37,135.48,304.26,2.37
332,leona vicario,10,MX,1579664248,90,16.86,-99.89,295.24,1.52
333,leona vicario,100,LV,1579664663,83,57.04,22.77,277.38,6.58
334,leona vicario,67,RU,1579664663,96,62.72,147.95,236.86,1.18
335,leona vicario,75,US,1579664663,61,29.46,-95.05,284.82,5.1
336,leona vicario,100,CN,1579664663,77,22.81,115.83,293.15,2.71
337,leona vicario,100,AU,1579664352,52,-20.73,139.5,306.15,5.1
338,leona vicario,0,PK,1579664389,69,25.05,61.74,294.12,4.51
339,leona vicario,90,CA,1579664663,73,50.1,-91.92,268.15,5.1
340,leona vicario,61,GA,1579664663,98,-1.22,10.58,296.32,0.3
341,leona vicario,100,MG,1579664378,82,-14.9,50.28,300.84,2.43
342,leona vicario,75,IE,1579664664,100,52.17,-8.9,280.37,2.1
343,leona vicario,55,PF,1579664352,75,-16.7,-151.02,301.26,3.94
344,leona vicario,64,NE,1579664664,21,13.98,10.27,290.37,4.92
345,leona vicario,95,NG,1579664664,75,5.52,5.75,297.91,0.92
346,leona vicario,100,IS,1579664244,92,63.44,-20.27,280.38,10.6
347,leona vicario,100,RU,1579664664,88,50.63,87.96,256.45,2.76
348,leona vicario,0,RU,1579664664,89,53.97,121.97,249.82,1.26
349,leona vicario,90,US,1579664338,87,37.46,-122.43,286.48,5.1
350,leona vicario,0,AR,1579664665,58,-40.81,-63.0,292.99,5.49
351,leona vicario,20,IN,1579664665,88,8.88,76.6,300.15,1.0
352,leona vicario,89,CN,1579664217,86,42.8,93.45,260.95,0.86
353,leona vicario,0,RU,1579664665,76,56.45,138.17,254.88,3.31
354,leona vicario,100,RU,1579664665,96,59.65,67.41,254.04,6.68
355,leona vicario,100,BR,1579664331,96,-9.88,-56.09,296.07,1.54
356,leona vicario,90,US,1579664471,62,46.78,-92.11,267.59,9.3
357,leona vicario,9,MX,1579663996,60,22.89,-109.91,294.82,0.45
358,leona vicario,99,NZ,1579664332,67,-35.17,173.17,299.26,1.34
359,leona vicario,90,AU,1579664349,87,-37.83,140.77,289.15,8.2
360,leona vicario,100,BR,1579664335,98,-1.83,-44.87,296.58,1.14
361,leona vicario,100,RU,1579664666,90,62.11,42.9,270.45,3.52
362,leona vicario,0,PG,1579664278,70,-3.67,152.43,302.88,5.08
363,leona vicario,96,NO,1579664666,92,68.86,18.35,272.15,15.9
364,leona vicario,1,US,1579664666,73,33.19,-82.53,275.15,2.99
365,leona vicario,100,RU,1579664666,98,58.13,68.59,253.36,3.35
366,leona vicario,65,SL,1579664242,86,7.53,-12.51,298.85,1.93
367,leona vicario,40,SA,1579664210,81,18.39,42.45,284.15,4.1
368,leona vicario,89,SS,1579664667,20,7.7,28.0,289.65,2.88
369,leona vicario,18,IT,1579664667,75,40.63,14.37,282.59,2.6
370,leona vicario,14,IN,1579664667,55,22.3,74.35,292.27,2.12
